Price,Adj Close,Close,High,Low,Open,Volume
Ticker,EVRG,EVRG,EVRG,EVRG,EVRG,EVRG
Date,,,,,,
2000-01-03,5.252070903778076,16.5,16.8125,16.125,16.625,419600
2000-01-04,5.431118011474609,17.0625,17.125,16.25,16.5625,623100
2000-01-05,5.709635257720947,17.9375,17.9375,17.0,17.0,310400
2000-01-06,5.669846534729004,17.8125,17.9375,17.625,17.9375,283700
2000-01-07,5.610166072845459,17.625,17.9375,17.3125,17.875,225100
2000-01-10,5.5106940269470215,17.3125,17.875,17.0,17.625,373200
2000-01-11,5.550482273101807,17.4375,17.5625,17.0625,17.5625,202200
2000-01-12,5.5106940269470215,17.3125,17.3125,17.0625,17.25,222800
2000-01-13,5.451010704040527,17.125,17.4375,16.875,17.25,258700
2000-01-14,5.271963119506836,16.5625,16.9375,16.25,16.9375,253700
2000-01-18,5.112812042236328,16.0625,16.5625,16.0,16.5625,278000
2000-01-19,5.331648349761963,16.75,16.9375,16.0,16.0625,221800
2000-01-20,5.212281227111816,16.375,16.6875,16.3125,16.625,160700
2000-01-21,5.291858673095703,16.625,16.6875,16.25,16.4375,214100
2000-01-24,5.271963119506836,16.5625,17.3125,16.5,16.5,197900
2000-01-25,5.132704734802246,16.125,16.6875,16.0,16.5625,267200
2000-01-26,4.874080657958984,15.3125,16.1875,15.3125,16.0,657500
2000-01-27,5.053128719329834,15.875,16.0,15.375,15.375,262900
2000-01-28,5.053128719329834,15.875,16.125,15.5,16.0,195200
2000-01-31,5.092915058135986,16.0,16.0625,15.875,16.0,140400
2000-02-01,4.953653812408447,15.5625,16.0,15.5,15.9375,138500
2000-02-02,5.013340473175049,15.75,15.8125,15.5,15.5,109700
2000-02-03,5.291858673095703,16.625,17.1875,16.0625,16.0625,463200
2000-02-04,5.252070903778076,16.5,16.875,16.0,16.75,190000
2000-02-07,5.291858673095703,16.625,16.875,16.5,16.5,239000
2000-02-08,5.311753273010254,16.6875,16.8125,16.5625,16.5625,234000
2000-02-09,5.291858673095703,16.625,16.625,16.1875,16.5625,205800
2000-02-10,5.092915058135986,16.0,16.4375,16.0,16.4375,259300
2000-02-11,5.092915058135986,16.0,16.25,15.9375,16.0625,171000
2000-02-14,5.033236026763916,15.8125,16.1875,15.75,16.1875,247800
2000-02-15,5.013340473175049,15.75,15.9375,15.625,15.625,208600
2000-02-16,5.013340473175049,15.75,15.875,15.6875,15.8125,161700
2000-02-17,5.033236026763916,15.8125,15.9375,15.625,15.6875,180900
2000-02-18,5.033236026763916,15.8125,15.8125,15.625,15.75,130900
2000-02-22,5.092915058135986,16.0,16.125,15.8125,15.9375,215900
2000-02-23,5.033236026763916,15.8125,16.0,15.75,15.9375,120500
2000-02-24,4.953653812408447,15.5625,15.9375,15.5,15.875,165800
2000-02-25,4.933764934539795,15.5,15.6875,15.375,15.625,175500
2000-02-28,5.033236026763916,15.8125,15.8125,15.5,15.625,112300
2000-02-29,4.913868427276611,15.4375,16.0,15.375,15.8125,195900
2000-03-01,4.933764934539795,15.5,15.6875,15.375,15.5625,301100
2000-03-02,5.212281227111816,16.375,16.375,15.5625,15.5625,396700
2000-03-03,5.252070903778076,16.5,16.625,16.375,16.625,158000
2000-03-06,5.132704734802246,16.125,16.75,15.3125,16.75,1251100
2000-03-07,5.514613628387451,16.75,16.75,15.75,16.125,798800
2000-03-08,5.555765151977539,16.875,17.25,16.5,16.75,7778100
2000-03-09,5.596920013427734,17.0,17.125,16.8125,17.125,1269300
2000-03-10,5.679225921630859,17.25,17.5625,16.9375,17.0,294100
2000-03-13,5.6380720138549805,17.125,17.1875,16.9375,17.0,205900
2000-03-14,5.555765151977539,16.875,17.25,16.8125,16.9375,130900
2000-03-15,5.658652305603027,17.1875,17.1875,16.8125,16.8125,217000
2000-03-16,5.720381259918213,17.375,17.5,17.0,17.125,603800
2000-03-17,5.658652305603027,17.1875,17.3125,16.75,17.25,276500
2000-03-20,5.617497444152832,17.0625,17.3125,16.9375,17.125,99900
2000-03-21,5.555765151977539,16.875,17.0,16.75,16.8125,89500
2000-03-22,5.391149520874023,16.375,16.8125,16.3125,16.6875,245300
2000-03-23,5.535190582275391,16.8125,16.8125,16.3125,16.375,170500
2000-03-24,5.514613628387451,16.75,16.875,16.375,16.75,120800
2000-03-27,5.535190582275391,16.8125,17.0,16.375,17.0,154200
2000-03-28,5.473458290100098,16.625,16.625,16.25,16.625,131100
2000-03-29,5.514613628387451,16.75,18.3125,16.625,17.5,591100
2000-03-30,5.1853814125061035,15.75,16.9375,15.4375,16.875,652300
2000-03-31,5.205959320068359,15.8125,15.9375,15.5625,15.75,720500
2000-04-03,4.938458442687988,15.0,15.5625,14.8125,15.5,622300
2000-04-04,5.061921119689941,15.375,15.75,14.6875,15.75,580100
2000-04-05,5.061921119689941,15.375,15.5625,14.8125,14.875,272000
2000-04-06,4.959036827087402,15.0625,15.3125,14.9375,15.3125,152800
2000-04-07,4.917881011962891,14.9375,15.25,14.8125,15.125,234300
2000-04-10,4.959036827087402,15.0625,15.25,14.875,14.9375,173900
2000-04-11,5.061921119689941,15.375,15.4375,15.125,15.125,202900
2000-04-12,5.144228935241699,15.625,16.3125,15.4375,15.4375,294900
2000-04-13,5.1648054122924805,15.6875,15.9375,15.6875,15.6875,218800
